commodity,season1start,season1end,season2duty,season2start,season2end,season3duty,season1start,season3end,season3duty
0302410000,Jun-16,Feb-14,15.00%,Feb-15,Jun-15,0.00%,,,
0302439000,Jun-16,Feb-14,13.00%,Feb-15,Jun-15,0.00%,,,
0302440000,Jun-16,Feb-14,20.00%,Feb-15,Jun-15,0.00%,,,
0303510000,Jun-16,Feb-14,15.00%,Feb-15,Jun-15,0.00%,,,
0303539000,Jun-16,Feb-14,13.00%,Feb-15,Jun-15,0.00%,,,
0303541000,Jun-16,Feb-14,20.00%,Feb-15,Jun-15,0.00%,,,
0303894000,Jun-16,Feb-14,10.00%,Feb-15,Jun-15,0.00%,,,
0304595000,Jun-16,Feb-14,15.00%,Feb-15,Jun-15,0.00%,,,
0304992300,Jun-16,Feb-14,15.00%,Feb-15,Jun-15,0.00%,,,
0603110000,Jan-01,May-31,8.50%,Jun-01,Oct-31,12.00%,Nov-01,Dec-31,8.50%
0603120000,Jan-01,May-31,8.50%,Jun-01,Oct-31,12.00%,Nov-01,Dec-31,8.50%
0603130000,Jan-01,May-31,8.50%,Jun-01,Oct-31,12.00%,Nov-01,Dec-31,8.50%
0603140000,Jan-01,May-31,8.50%,Jun-01,Oct-31,12.00%,Nov-01,Dec-31,8.50%
0603150000,Jan-01,May-31,8.50%,Jun-01,Oct-31,12.00%,Nov-01,Dec-31,8.50%
0603190000,Jan-01,May-31,8.50%,Jun-01,Oct-31,12.00%,Nov-01,Dec-31,8.50%
0701905000,Jan-01,May-15,9.60%,May-16,Jun-30,13.40%,,,
0704100000,Jan-01,Apr-14,9.600 % MIN 1.100 EUR DTN ,Apr-15,Nov-30,13.6 MIN 1.6 EUR DTN,Dec-01,Dec-31,9.600 % MIN 1.100 EUR DTN 
0705110000,Jan-01,Mar-31,10.400 % MIN 1.300 EUR DTN G ,Apr-01,Nov-30,12 MIN 2 EUR DTN G,Dec-01,Dec-31,10.400 % MIN 1.300 EUR DTN G 
0706901000,Jan-01,Apr-30,13.60%,May-01,Sep-30,10.40%,Oct-01,Dec-31,13.60%
0708100000,Jan-01,May-31,8.00%,Jun-01,Aug-31,13.60%,Sep-01,Dec-31,8.00%
0708200000,Jan-01,Jun-30,10.400 % MIN 1.600 EUR DTN ,Jul-01,Sep-30,13.600 % MIN 1.600 EUR DTN ,Oct-01,Dec-31,10.400 % MIN 1.600 EUR DTN 
0804400000,Jan-01,May-31,4.00%,Jun-01,Nov-30,5.10%,Dec-01,Dec-31,4.00%
0805108000,Jan-01,Mar-31,16.00%,Apr-01,Oct-15,12.00%,Oct-16,Dec-31,16.00%
0805400000,Jan-01,Apr-30,1.50%,May-01,Oct-31,2.40%,Nov-01,Dec-31,1.50%
0806109000,Jan-01,Jul-14,14.40%,Jul-15,Oct-31,17.60%,Nov-01,Dec-31,14.40%
0810100000,Jan-01,Apr-30,11.20%,May-01,Jul-31,12.800 MIN 2.400 EUR DTN,Aug-01,Dec-31,11.20%
0810500000,Jan-01,May-14,8.80%,May-15,Nov-15,8.00%,Nov-16,Dec-31,8.80%
