commodity,season1start,season1end,season2duty,season2start,season2end,season3duty,season1start,season3end,season3duty
0302410000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0302439000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0302440000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0303510000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0303539000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0303541000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0303894000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0304595000,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0304992300,Jun-16,Feb-14,0.00%,Feb-15,Jun-15,0.00%,,,
0603110000,Jan-01,May-31,0.00%,Jun-01,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0603120000,Jan-01,May-31,0.00%,Jun-01,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0603130000,Jan-01,May-31,0.00%,Jun-01,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0603140000,Jan-01,May-31,0.00%,Jun-01,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0603150000,Jan-01,May-31,0.00%,Jun-01,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0603190000,Jan-01,May-31,0.00%,Jun-01,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0701905000,Jan-01,May-15,0.00%,May-16,Jun-30,0.00%,,,
0704100000,Jan-01,Apr-14,0.00%,Apr-15,Nov-30,0.00%,Dec-01,Dec-31,0.00%
0705110000,Jan-01,Mar-31,0.00%,Apr-01,Nov-30,0.00%,Dec-01,Dec-31,0.00%
0706901000,Jan-01,Apr-30,0.00%,May-01,Sep-30,0.00%,Oct-01,Dec-31,0.00%
0708100000,Jan-01,May-31,0.00%,Jun-01,Aug-31,0.00%,Sep-01,Dec-31,0.00%
0708200000,Jan-01,Jun-30,0.00%,Jul-01,Sep-30,0.00%,Oct-01,Dec-31,0.00%
0804400000,Jan-01,May-31,0.00%,Jun-01,Nov-30,0.00%,Dec-01,Dec-31,0.00%
0805108000,Jan-01,Mar-31,0.00%,Apr-01,Oct-15,0.00%,Oct-16,Dec-31,0.00%
0805400000,Jan-01,Apr-30,0.00%,May-01,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0806109000,Jan-01,Jul-14,0.00%,Jul-15,Oct-31,0.00%,Nov-01,Dec-31,0.00%
0810100000,Jan-01,Apr-30,0.00%,May-01,Jul-31,0.00%,Aug-01,Dec-31,0.00%
0810500000,Jan-01,May-14,0.00%,May-15,Nov-15,0.00%,Nov-16,Dec-31,0.00%
